laf.uk,laf.ru,laf.qt.cyr,laf.qt.lat,cateogoryName
Бабуся / Баба,Бабуля / Бабушка,Къартана,Qartana,Hitap
Брат,Брат,Агъа,Ağa,Hitap
Братик,Братишка,Къардашым,Qardaşım,Hitap
Панове,Господа,Эфендилер,Efendiler,Hitap
Пан,Господин,Эфенди,Efendi,Hitap
Пані,Госпожа,Ханым,Hanım,Hitap
Пані та панове,Дамы и господа,Ханымлар ве эфендилер,Hanımlar ve efendiler,Hitap
Дівчинка,Девочка,Къызым,Qızım,Hitap
"Дівчина (звернення до дружини, доньки, молодшої доньки)","Девушка (обращение к жене, дочери, младшей сестре)",Акъыз,Aqız,Hitap
Дідусь / Дід,Дедуля / Дедушка,Къартбаба,Qartbaba,Hitap
Діти,Дети,Балалар,Balalar,Hitap
Діти мої,Дети мои,Балаларым,Balalarım,Hitap
Дитина моя (звернення літньої до молодої),Дитя моё (обращение пожилого к молодому),Балам,Balam,Hitap
Любі гості,Дорогие гости,Къыйметли / Азиз мусафирлер,Qıymetli / Aziz musafirler,Hitap
Любий мій,Дорогой мой,Джаным,Canım,Hitap
Любий друже,Дорогой друг,Къыйметли / Азиз достум,Qıymetli / Aziz dostum,Hitap
Любі друзі,Дорогие друзья,Къыйметли / Азиз достлар,Qiymetli / Aziz dostlar,Hitap
Друже мій,Друг мой,Достум,Dostum,Hitap
Друже мій душевний,Друг мой сердечный,Джан-достум,Can-dostum,Hitap
Донечко,Доченька,Къызым,Qızım,Hitap
Дядько,Дядя / Дяденька,Агъа / Эмдже / Дайы,Ağa / Emce / Dayı,Hitap
Одновірцю,Eдиноверец,Диндашым,Dindaşım,Hitap
Земляки,Земляки,Семетдешлер,Semetdeşler,Hitap
Колего,Коллега,Ишдешим / Зенаатдашым,İşdeşim / Zenaatdaşım,Hitap
Люди! / Народе!,Люди! / Народ!,Джемаат!,Cemaat!,Hitap
Хлопцю,Мальчик,Огълан,Oğlan,Hitap
Мамо,Мама,Anam,Анам,Hitap
Любий мій,Милый мой,Азизим,Azizim,Hitap
Юначе,Молодой человек,Эфендим,Efendim,Hitap
Односельцю,Односельчанин,Койдешим,Köydeşim,Hitap
Офіціянте,Официант,Аякъчы / Софраджы,Ayaqçı / Sofracı,Hitap
Тату,Папа,Бабам,Babam,Hitap
Юначе,Парень,Олян,Olân,Hitap
Хлопці,Ребята,Балалар,Balalar,Hitap
Рідний мій,Родной мой,Асабам / Тувгъаным,Asabam / Tuvğanım,Hitap
Сусіде,Сосед,Къомшу,Qomşu,Hitap
Синку,Сынок,Огълум,Oğlum,Hitap
Тітко / Тітенько,Тётя / Тëтенька,Апте / Тата / Дуду / Ала / Тизе,Apte / Tata / Dudu / Ala / Tize,Hitap
Тезко,Тёзка,Аддашым,Addaşım,Hitap
Товаришу,Товарищ,Аркъадашым,Arqadaşım,Hitap
Шановні гості,Уважаемые гости,Урьметли мусафирлер,Ürmetli musafirler,Hitap
Шановні присутні!,Уважаемые собравшиеся!,Сайгъылы джемаат!,Sayğılı cemaat!,Hitap
Шановні співвітчизники!,Уважаемые соотечественники!,Сайгъылы ватандашлар!,Sayğılı vatandaşlar!,Hitap
Вчителю,Учитель,Оджам,Ocam,Hitap
"Гей, ти!","Эй, ты!","Эй, сен!","Ey, sen!",Hitap
